Molecule ChEMBL ID,Molecule Name,Molecule Max Phase,Molecular Weight,#RO5 Violations,AlogP,Smiles,Standard Type,Standard Relation,Standard Value,Standard Units,pChEMBL Value
CHEMBL3989843,TRANYLCYPROMINE,4,266.39,None,None,N[C@@H]1C[C@H]1c1ccccc1.N[C@H]1C[C@@H]1c1ccccc1,IC50,'=',4000,nM,5.4
CHEMBL3415797,,None,293.29,0,2.4,C#CCN(C)CC(=C)c1cccc(F)c1.O=C(O)C(=O)O,IC50,'=',7.6,nM,8.12
CHEMBL2420787,,None,280.24,0,4.5,Cc1ccc(C(=O)/C=C/c2ccc(C(F)(F)F)cc2)o1,IC50,'=',31800,nM,4.5
CHEMBL185776,BELLIDIFOLIN,None,274.23,0,2.07,COc1cc(O)c2c(=O)c3c(O)ccc(O)c3oc2c1,IC50,'=',660,nM,6.18
CHEMBL435101,,None,286.28,0,2.98,COc1cc(O)c2oc3c(C)ccc(OC)c3c(=O)c2c1,IC50,'=',24000,nM,4.62
CHEMBL187801,,None,226.23,0,2.95,COc1cccc2c(=O)c3ccccc3oc12,IC50,'=',30000,nM,4.52
CHEMBL362107,,None,242.23,0,2.67,Cc1c(O)cc(O)c2c(=O)c3ccccc3oc12,IC50,'=',4300,nM,5.37
CHEMBL441121,,None,242.23,0,2.67,Cc1c(O)cc2oc3ccccc3c(=O)c2c1O,IC50,'=',3700,nM,5.43
CHEMBL1257815,,None,397.44,0,4.96,C/C(=N\Nc1nc2ccccc2nc1Cc1ccccc1)c1ccc([N+](=O)[O-])cc1,IC50,'=',680,nM,6.17
CHEMBL3330341,,None,245.75,0,3.03,Cl.N[C@@]1(c2ccccc2)C[C@@H]1c1ccccc1,IC50,'=',94,nM,7.03
CHEMBL8706,CLORGILINE,-1,272.18,0,3.33,C#CCN(C)CCCOc1ccc(Cl)cc1Cl,IC50,'=',2760,nM,5.56
CHEMBL3989843,TRANYLCYPROMINE,4,266.39,None,None,N[C@@H]1C[C@H]1c1ccccc1.N[C@H]1C[C@@H]1c1ccccc1,IC50,'=',1190,nM,5.92
CHEMBL2238457,,None,273.38,0,1.15,CC(C)(C)OC(=O)NCCCCCCNCC(N)=O,IC50,'=',5700,nM,5.24
CHEMBL3319245,,None,237.26,0,2.82,O=C(Nc1ccccc1)c1ccc2[nH]ncc2c1,IC50,'>',10000,nM,
CHEMBL3319249,,None,297.31,0,2.83,COc1ccc(NC(=O)c2ccc3[nH]ncc3c2)cc1OC,IC50,'>',10000,nM,
CHEMBL3121793,,None,328.3,0,3.3,COC(=O)c1cc2ccc(OCc3cccc(F)c3)cc2oc1=O,IC50,'=',77.2,nM,7.11
CHEMBL3133314,,None,491.65,1,7.47,CCN(CCCCCCOc1ccc(/C=C/c2cc(OC)cc(OC)c2)cc1)Cc1ccccc1F,IC50,'>',100000,nM,
CHEMBL3133309,,None,487.68,1,7.73,COc1cc(/C=C/c2ccc(OCCCCCCCCN(C)Cc3ccccc3)cc2)cc(OC)c1,IC50,'>',100000,nM,
CHEMBL3133308,,None,473.66,1,7.34,COc1cc(/C=C/c2ccc(OCCCCCCCN(C)Cc3ccccc3)cc2)cc(OC)c1,IC50,'>',100000,nM,
CHEMBL3133307,,None,445.6,1,6.56,COc1cc(/C=C/c2ccc(OCCCCCN(C)Cc3ccccc3)cc2)cc(OC)c1,IC50,'=',97380,nM,4.01
CHEMBL463249,,None,333.19,0,2.61,CN1C(=N)N(C)/C(=C/c2c[nH]c3cc(Br)ccc23)C1=O,IC50,'=',447,nM,6.35
CHEMBL3127967,,None,429.61,0,4.97,C#CCNCc1cc2cc(OCCCC3CCN(Cc4ccccc4)CC3)ccc2n1C,IC50,'=',5.495,nM,8.26
CHEMBL3127972,,None,495.67,1,6.18,Cn1c(C(=O)NCc2ccccc2)cc2cc(OCCCC3CCN(Cc4ccccc4)CC3)ccc21,IC50,'>',100000,nM,
CHEMBL3127968,,None,431.62,1,5.53,C=CCNCc1cc2cc(OCCCC3CCN(Cc4ccccc4)CC3)ccc2n1C,IC50,'=',979.49,nM,6.01
CHEMBL3134376,,None,437.91,0,2.22,C/C(=N\NC(=O)c1cccc(S(=O)(=O)N2CCOCC2)c1)c1ccc(Cl)cc1O,IC50,'>',200000,nM,
CHEMBL3134375,,None,254.33,0,2.74,COc1ncccc1CNC1CC1c1ccccc1,IC50,'>',37500,nM,
CHEMBL3134373,,None,368.25,0,3.98,O=S(=O)(Nc1ccn(-c2ccccc2)n1)c1cc(Cl)cc(Cl)c1,IC50,'>',500000,nM,
CHEMBL3134370,,None,426.95,1,5.93,O=S(=O)(Nc1nc(-c2ccccc2)c(-c2ccccc2)s1)c1cccc(Cl)c1,IC50,'>',500000,nM,
CHEMBL3134366,,None,380.88,0,4.27,COc1cccc(-c2csc(NS(=O)(=O)c3cccc(Cl)c3)n2)c1,IC50,'=',14500,nM,4.84
CHEMBL3134365,,None,380.88,0,4.27,COc1ccccc1-c1csc(NS(=O)(=O)c2cccc(Cl)c2)n1,IC50,'>',500000,nM,
CHEMBL3134356,,None,350.85,0,4.26,O=S(=O)(Nc1nc(-c2ccccc2)cs1)c1cccc(Cl)c1,IC50,'=',67300,nM,4.17
CHEMBL3134352,,None,356.88,0,4.33,O=S(=O)(Nc1nc(-c2ccc(Cl)cc2)cs1)c1cccs1,IC50,'>',500000,nM,
CHEMBL3134344,,None,385.3,0,4.92,O=S(=O)(Nc1nc(-c2ccc(Cl)cc2)cs1)c1cccc(Cl)c1,IC50,'=',248000,nM,
CHEMBL3134336,,None,364.88,0,4.41,O=S(=O)(Cc1ccccc1)Nc1nc(-c2ccc(Cl)cc2)cs1,IC50,,,,
CHEMBL1823811,,None,206.27,0,1.4,N=C1NC(=O)C(Cc2ccccc2)S1,IC50,,,,
CHEMBL3417297,,None,556.71,2,5.12,CCOc1cc(=O)oc2cc(OCCN3CCN(CCCNc4c5c(nc6ccccc46)CCCC5)CC3)ccc12,IC50,'=',78590,nM,4.11
CHEMBL43185,PIPERINE,2,285.34,0,3,O=C(/C=C/C=C/c1ccc2c(c1)OCO2)N1CCCCC1,IC50,'=',58980,nM,4.23
CHEMBL1253604,,None,284.75,0,4.38,Cc1cc2cc(NC(=O)c3cccc(Cl)c3)ccc2[nH]1,IC50,'=',31040,nM,4.51
CHEMBL2204757,,None,329.22,0,4.48,N#Cc1ccc(SCc2ccc(Br)cc2)cc1C#N,IC50,'=',218000,nM,
CHEMBL3360730,,None,281.27,0,3.68,Cc1ccc2oc(=O)c(-c3ccccc3[N+](=O)[O-])cc2c1,IC50,,,,
CHEMBL3360734,,None,251.28,0,3.35,Cc1ccc2oc(=O)c(-c3cccc(N)c3)cc2c1,IC50,,,,
CHEMBL1255743,TRANYLCYPROMINE HYDROCHLORIDE,None,169.65,0,1.5,Cl.N[C@@H]1C[C@H]1c1ccccc1,IC50,'=',4500,nM,5.35
CHEMBL3741428,,None,379.39,0,1.62,O=C(C1CC1)N(O)C[C@H]1CN(c2ccc(N3CCOCC3)c(F)c2)C(=O)O1,IC50,'=',111660,nM,
CHEMBL3407589,,None,385.47,0,4.37,C#CCN(C)Cc1cc2cc(OCc3ccc(OC)c4ncccc34)ccc2[nH]1,IC50,'=',630100,nM,
CHEMBL3407584,,None,415.58,0,4.96,C#CCNCc1cc2cc(OCCCC3CCN(Cc4ccccc4)CC3)ccc2[nH]1,IC50,'=',19200,nM,4.72
CHEMBL364713,NOSCAPINE,4,413.43,0,2.88,COc1ccc2c(c1OC)C(=O)O[C@@H]2[C@H]1c2c(cc3c(c2OC)OCO3)CCN1C,IC50,,,,
CHEMBL21731,MAPROTILINE,4,277.41,0,4.21,CNCCCC12CCC(c3ccccc31)c1ccccc12,IC50,,,,
CHEMBL3417309,,None,540.71,2,5.5,O=c1ccc2ccc(OCCCCCN3CCN(CCNc4c5c(nc6ccccc46)CCCC5)CC3)cc2o1,IC50,'=',9180,nM,5.04
CHEMBL3980929,,None,306.41,0,2.91,C#CCN1CCC(CNC(=O)c2ccc3ccccc3c2)CC1,IC50,'>',100000,nM,
CHEMBL3952086,,None,364.49,0,3.27,C#CCN1CCC(CN(CCOC)C(=O)c2ccc3ccccc3c2)CC1,IC50,'>',100000,nM,
CHEMBL3891772,,None,342.46,0,2.46,C#CCN1CCC(CNS(=O)(=O)c2ccc3ccccc3c2)CC1,IC50,'>',100000,nM,
CHEMBL3986142,,None,386.4,0,1.81,C#CCN1C(=O)C(=O)c2cc(S(=O)(=O)N(C)Cc3ccc(F)cc3)ccc21,IC50,'=',4310,nM,5.37
CHEMBL3928890,,None,305.16,0,4.52,O=C1/C(=C/c2ccc(Cl)c(Cl)c2)Cc2cc(O)ccc21,IC50,'=',235,nM,6.63
CHEMBL3932083,,None,348.36,0,1.78,CN(Cc1cccc(F)c1)S(=O)(=O)c1ccc2c(c1)C(=O)C(=O)N2,IC50,'=',22750,nM,4.64
CHEMBL3971638,,None,261.28,0,3.09,N#Cc1cccc(/C=C2\Cc3cc(O)ccc3C2=O)c1,IC50,'=',444,nM,6.35
CHEMBL28855,,None,263.34,0,3.58,CN(C)c1ccc(/C=C2\Cc3ccccc3C2=O)cc1,IC50,'=',1520,nM,5.82
CHEMBL3261212,,None,403.07,0,3.85,CC(C)(C)NC(=O)c1cc2cc(Br)cc(Br)c2oc1=O,IC50,'=',31450,nM,4.5
CHEMBL2088310,,None,350.83,0,1.92,Cn1c(=O)c2c(nc(CSc3cccc(Cl)c3)n2C)n(C)c1=O,IC50,'=',19400,nM,4.71
CHEMBL2088311,,None,395.28,0,2.03,Cn1c(=O)c2c(nc(CSc3cccc(Br)c3)n2C)n(C)c1=O,IC50,'=',23800,nM,4.62
CHEMBL2088302,,None,318.31,0,0.69,Cn1c(=O)c2c(nc(COc3cccc(F)c3)n2C)n(C)c1=O,IC50,'=',13200,nM,4.88
CHEMBL160219,,None,361.45,0,3.87,CNC(=O)Oc1ccc2c(c1)c1c(n2C)/C(=N\CCc2ccccc2)CC1,IC50,'>',1000000,nM,
CHEMBL3288296,,None,331.21,0,4.55,O=C1CCCc2cc(OCc3cccc(Br)c3)ccc21,IC50,'=',212,nM,6.67
CHEMBL3288299,,None,378.21,0,4.39,O=C1CCCc2cc(OCc3ccc(I)cc3)ccc21,IC50,'=',2250,nM,5.65
CHEMBL4173338,,None,409.53,0,3.65,O=C(CCCCCCNC(=O)c1ccc(CNC2(c3ccccc3)CC2)cc1)NO,IC50,'=',21110,nM,4.68
CHEMBL8663,,None,187.29,0,2.18,C#CCN(C)C(C)Cc1ccccc1,IC50,'=',67250,nM,4.17
CHEMBL1080449,,None,289.34,0,2.81,NC(=S)N1N=C(c2ccco2)CC1c1ccc(F)cc1,IC50,'=',69450,nM,4.16
CHEMBL1079383,,None,276.39,0,2.47,NC(=S)N1N=C(c2cccs2)CC1c1ccc[nH]1,IC50,'=',69970,nM,4.16
CHEMBL3613158,,None,292.26,0,4.31,O=C(/C=C/c1ccccc1C(F)(F)F)c1ccc(O)cc1,IC50,'>',100000,nM,
CHEMBL3613266,,None,307.27,0,4.06,O=C(/C=C/c1ccccc1C(F)(F)F)Nc1ccc(O)cc1,IC50,'=',9220,nM,5.04
CHEMBL3660743,,None,480.54,0,2.41,CC(C)(O)C(=O)N1CC(C#Cc2ccc3c(=O)c(-c4ccc(NS(C)(=O)=O)cc4)coc3c2)C1,IC50,'>',130000,nM,
CHEMBL2391742,,None,308.25,0,3.95,O=C1OCc2ccc(OCc3ccc(C(F)(F)F)cc3)cc21,IC50,'=',303,nM,6.52
CHEMBL3910142,,None,452.6,0,4.96,C#CCN(Cc1ccc2cccc(O)c2n1)C(C#N)CCC1CCN(Cc2ccccc2)CC1,IC50,'=',187200,nM,
CHEMBL2332212,,None,195.24,0,1.73,C#CCN(C)[C@H](CF)Cc1ccco1,IC50,'>',2000,nM,
CHEMBL404,TAZOBACTAM,4,300.3,0,-1.52,C[C@]1(Cn2ccnn2)[C@H](C(=O)O)N2C(=O)C[C@H]2S1(=O)=O,IC50,,,,
CHEMBL36994,ANIRACETAM,-1,219.24,0,1.46,COc1ccc(C(=O)N2CCCC2=O)cc1,IC50,,,,
CHEMBL85728,4,,,,,,,,,,
CHEMBL3734986,,None,237.26,0,3.16,Cc1ccc2oc(=O)c(-c3cccnc3)cc2c1,IC50,'=',6670,nM,5.18
CHEMBL3586611,,None,476.96,0,4.37,CN(Cc1ccc(C#N)cc1)Cc1ccc(COc2ccc3c(CO)cc(=O)oc3c2)cc1.Cl,IC50,'=',4480,nM,5.35
CHEMBL3660746,,None,519.62,1,2.98,CN1CCC(C(=O)N2CC(C#Cc3ccc4c(=O)c(-c5ccc(NS(C)(=O)=O)cc5)coc4c3)C2)CC1,IC50,'>',130000,nM,
CHEMBL2313286,,None,327.77,0,1.63,Cn1c(=O)c2c(cc(C#Cc3ccc(Cl)cc3)n2C)n(C)c1=O,IC50,'=',2022,nM,5.69
CHEMBL3651148,,None,359.47,0,4.92,COc1ccccc1CN[C@H]1CC1c1ccc(OCc2ccccc2)cc1,IC50,'=',5900,nM,5.23
CHEMBL1235242,,None,183.18,0,0.78,N[C@@H](Cc1ccc(F)cc1)C(=O)O,IC50,,,,
CHEMBL3741461,,None,300.33,0,4.15,CC1(C)CC(=O)c2ccc(OCc3ccc(F)cc3)cc2O1,IC50,'>',100000,nM,
CHEMBL3770015,,None,244.26,0,3.61,CC(=O)c1ccc(OCc2ccc(F)cc2)cc1,IC50,'>',100000,nM,
CHEMBL3546846,,None,252.32,0,2.75,N[C@@H]1C[C@H]1c1ccc(NC(=O)c2ccccc2)cc1,IC50,'=',31.2,nM,7.51
CHEMBL3735165,,None,242.3,0,3.83,Cc1ccc2oc(=O)c(-c3cccs3)cc2c1,IC50,'=',8090,nM,5.09
CHEMBL2312975,,None,333.77,0,1.81,Cn1c(=O)c2c(cc(OCc3ccc(Cl)cc3)n2C)n(C)c1=O,IC50,'=',2870,nM,5.54
CHEMBL450771,CORDOIN,None,308.38,0,4.63,CC(C)=CCOc1ccc(C(=O)/C=C/c2ccccc2)c(O)c1,IC50,,,,
CHEMBL3134335,,None,378.91,0,4.6,Cc1ccc(S(=O)(=O)N(C)c2nc(-c3ccc(Cl)cc3)cs2)cc1,IC50,,,,
CHEMBL95,TACRINE,4,198.27,0,2.7,Nc1c2c(nc3ccccc13)CCCC2,IC50,,,,
CHEMBL2333931,,None,483.7,1,6.66,C#CCN(CCCCCCNc1c2c(nc3ccccc13)CCCC2)[C@H](C)Cc1ccc(OC)cc1,IC50,'=',33790,nM,4.47
CHEMBL2333932,,None,427.59,1,5.1,C#CCN(C)[C@H](C)Cc1ccc(OCCNc2c3c(nc4ccccc24)CCCC3)cc1,IC50,'=',4860,nM,5.31
CHEMBL1213366,,None,467.49,0,1.03,COC(=O)C[C@H](NC(=O)[C@H](C)NC(=O)[C@@H](NC(=O)OCc1ccccc1)C(C)C)C(=O)CF,IC50,,,,
CHEMBL1242936,,None,319.86,1,5.44,CC1CCCC/C1=N\Nc1nc(-c2ccc(Cl)cc2)cs1,IC50,'=',35220,nM,4.45
CHEMBL3394499,,None,432.35,0,4.86,O=C(CN1CCCCC1)N1N=C(c2ccc(Cl)cc2)CC1c1cc(Cl)ccc1O,IC50,'=',6010,nM,5.22
CHEMBL4295113,,None,412.54,0,3.97,C#CCNc1nc(NCCCC2CCN(Cc3ccccc3)CC2)c(C#N)cc1C#N,IC50,'>',100,nM,
CHEMBL3394504,,None,399.88,0,3.06,O=C(CN1CCOCC1)N1N=C(c2ccc(Cl)cc2)CC1c1ccccc1O,IC50,'=',21200,nM,4.67
CHEMBL3394497,,None,411.93,0,4.52,Cc1ccc(C2=NN(C(=O)CN3CCCCC3)C(c3cc(Cl)ccc3O)C2)cc1,IC50,'=',14400,nM,4.84
CHEMBL673,PARGYLINE,4,159.23,0,1.75,C#CCN(C)Cc1ccccc1,IC50,,,,
CHEMBL2333928,,None,504.12,2,6.92,C#CCN(C)[C@H](C)Cc1ccc(OCCCCCNc2c3c(nc4cc(Cl)ccc24)CCCC3)cc1,IC50,'=',2860,nM,5.54
CHEMBL2333934,,None,455.65,1,5.88,C#CCN(C)[C@H](C)Cc1ccc(OCCCCNc2c3c(nc4ccccc24)CCCC3)cc1,IC50,'=',7000,nM,5.16
CHEMBL4070468,,None,314.73,0,3.56,O=C1COC(c2ccc(/N=N/c3cccc(Cl)c3)cc2)=NN1,IC50,'>',100000,nM,
CHEMBL4089905,,None,340.81,0,4.05,CCN1N=C(c2ccc(/C=C/c3cccc(Cl)c3)cc2)OCC1=O,IC50,'>',100000,nM,
CHEMBL1814068,,None,299.71,0,3.7,O=C(Nc1ccc(Cl)cc1)c1coc2ccccc2c1=O,IC50,'>',10000,nM,
CHEMBL481,IRINOTECAN,4,586.69,1,4.09,CCc1c2c(nc3ccc(OC(=O)N4CCC(N5CCCCC5)CC4)cc13)-c1cc3c(c(=O)n1C2)COC(=O)[C@]3(O)CC,IC50,,,,
CHEMBL611,TERAZOSIN,4,387.44,0,1.06,COc1cc2nc(N3CCN(C(=O)C4CCCO4)CC3)nc(N)c2cc1OC,IC50,,,,
CHEMBL1598608,AZASETRON,2,349.82,0,1.52,CN1C(=O)COc2c(C(=O)NC3CN4CCC3CC4)cc(Cl)cc21,IC50,,,,
CHEMBL1196,PROPARACAINE,4,294.39,0,2.56,CCCOc1ccc(C(=O)OCCN(CC)CC)cc1N,IC50,'=',1777,nM,5.75
CHEMBL191,LOSARTAN,4,422.92,0,4.27,CCCCc1nc(Cl)c(CO)n1Cc1ccc(-c2ccccc2-c2nnn[nH]2)cc1,IC50,,,,
CHEMBL1172318,,None,254.24,0,2.71,,,,,,
CHEMBL1243400,,None,310.43,0,4.66,C[C@@H]1CCCC/C1=N\Nc1nc(-c2ccc(C#N)cc2)cs1,IC50,'=',5507,nM,5.26
CHEMBL139679,,None,274.7,0,3.65,O=C(/C=C/c1ccc(Cl)cc1)c1ccc(O)cc1O,IC50,'=',4950,nM,5.3
CHEMBL139679,,None,274.7,0,3.65,O=C(/C=C/c1ccc(Cl)cc1)c1ccc(O)cc1O,IC50,'=',4897.79,nM,5.31
CHEMBL8663,,None,187.29,0,2.18,C#CCN(C)C(C)Cc1ccccc1,IC50,'=',67250,nM,4.17
CHEMBL447,SECOBARBITAL,4,238.29,0,1.35,C=CCC1(C(C)CCC)C(=O)NC(=O)NC1=O,IC50,,,,
CHEMBL4636394,,None,202.26,0,1.86,CN1CCc2c[nH]c3ccc(O)c(c23)C1,IC50,'=',1400,nM,5.85
CHEMBL1242937,,None,303.41,0,4.93,CC1CCCC/C1=N\Nc1nc(-c2ccc(F)cc2)cs1,IC50,'=',43556,nM,4.36
CHEMBL375539,,None,285.42,0,4.79,CC1CCCC/C1=N\Nc1nc(-c2ccccc2)cs1,IC50,'=',41236,nM,4.38
CHEMBL1255020,,None,299.44,1,5.1,Cc1ccc(-c2csc(NN=C3CCC(C)CC3)n2)cc1,IC50,'=',8109,nM,5.09
CHEMBL247834,,None,302.36,0,4.06,O=[N+]([O-])c1ccc(-c2csc(NN=C3CCCC3)n2)cc1,IC50,'=',344,nM,6.46
CHEMBL246809,,None,271.39,0,4.46,Cc1ccc(-c2csc(NN=C3CCCC3)n2)cc1,IC50,'=',2019,nM,5.7
CHEMBL914,FEXOFENADINE,4,501.67,2,5.51,CC(C)(C(=O)O)c1ccc(C(O)CCCN2CCC(C(O)(c3ccccc3)c3ccccc3)CC2)cc1,IC50,,,,
CHEMBL1258719,,None,274.28,0,2.51,O=C(c1ccccc1)c1nc2ccccc2n2cnnc12,IC50,'=',750,nM,6.12
